language,total,large files,small p/ language,small proportion,small files,files available,files missing
C,90450.0,901.0,394988.0,2.3895412896220276,21477.0,89549.0,17570.0
C#,81150.0,923.0,180709.0,0.7021514911053872,6687.0,80227.0,5199.0
C++,38025.0,421.0,296135.0,0.7247767745625451,6147.0,37604.0,2900.0
Dart,33453.0,381.0,107692.0,0.17123474717534953,1425.0,33072.0,501.0
Elixir,6465.0,83.0,69420.0,0.319566915637235,1484.0,6382.0,508.0
Go,57404.0,608.0,243459.0,0.43999662108385634,3980.0,56796.0,1793.0
Haskell,23437.0,247.0,148060.0,0.5591446273180274,4150.0,23190.0,2042.0
Java,102381.0,1117.0,445556.0,1.5581850956139,15113.0,101264.0,10795.0
JavaScript,163068.0,1671.0,1266952.0,11.676682469778058,116551.0,161397.0,105891.0
Kotlin,73899.0,753.0,362193.0,1.9074932381131706,17737.0,73146.0,13265.0
Lua,7333.0,104.0,41688.0,0.2800936288800227,1463.0,7229.0,802.0
Objective-C,13245.0,146.0,177190.0,2.9136326382218125,17813.0,13099.0,16063.0
PHP,53719.0,568.0,214224.0,0.9599773741174249,8579.0,53151.0,6431.0
Perl,3313.0,60.0,11076.0,0.09403519903368196,348.0,3253.0,0.0
Python,51437.0,574.0,375270.0,1.7598905064327464,15745.0,50863.0,12126.0
Ruby,82494.0,845.0,291989.0,1.7479882887195053,16479.0,81649.0,13259.0
Rust,47229.0,484.0,304150.0,1.038260947387649,9041.0,46745.0,4498.0
Scala,55580.0,568.0,223150.0,0.3605479632697241,3230.0,55012.0,281.0
Swift,25812.0,278.0,244768.0,1.5669854456909378,12001.0,25534.0,9390.0
TypeScript,87353.0,920.0,522940.0,1.229832779706108,11716.0,86433.0,5262.0
