language,total,large files,small p/ language,small proportion,small files,files available,files missing
C,34748.0,314.0,8977.0,0.009036491308852307,82.0,34434.0,0.0
Python,273.0,4.0,8935.0,0.014652014652014652,131.0,269.0,0.0
C,34748.0,314.0,8977.0,0.009036491308852307,82.0,34434.0,0.0
Python,273.0,4.0,8935.0,0.014652014652014652,131.0,269.0,0.0
C,566.0,1.0,8977.0,0.0017667844522968198,16.0,565.0,0.0
Go,1060.0,2.0,9017.0,0.0018867924528301887,18.0,1058.0,0.0
JavaScript,74.0,6.0,9976.0,0.08108108108108109,809.0,68.0,741.0
C,424.0,4.0,8977.0,0.009433962264150943,85.0,420.0,0.0
C,341.0,7.0,8977.0,0.020527859237536656,185.0,334.0,0.0
JavaScript,27.0,2.0,9976.0,0.07407407407407407,739.0,25.0,714.0
C,638.0,4.0,8977.0,0.006269592476489028,57.0,634.0,0.0
C++,217.0,2.0,8461.0,0.009216589861751152,78.0,215.0,0.0
Objective-C,16.0,1.0,6110.0,0.0625,382.0,15.0,367.0
C,591.0,2.0,8977.0,0.00338409475465313,31.0,589.0,0.0
Python,3.0,1.0,8935.0,0.3333333333333333,2979.0,2.0,2977.0
C,3198.0,9.0,8977.0,0.0028142589118198874,26.0,3189.0,0.0
C,1029.0,28.0,8977.0,0.027210884353741496,245.0,1001.0,0.0
JavaScript,3.0,1.0,9976.0,0.3333333333333333,3326.0,2.0,3324.0
PHP,20400.0,70.0,8926.0,0.003431372549019608,31.0,20330.0,0.0
C,637.0,1.0,8977.0,0.0015698587127158557,15.0,636.0,0.0
C,184.0,2.0,8977.0,0.010869565217391304,98.0,182.0,0.0
C,94.0,1.0,8977.0,0.010638297872340425,96.0,93.0,3.0
Objective-C,47.0,1.0,6110.0,0.02127659574468085,130.0,46.0,84.0
C,10.0,4.0,8977.0,0.4,3591.0,6.0,3585.0
C++,78.0,5.0,8461.0,0.0641025641025641,543.0,73.0,470.0
JavaScript,9.0,1.0,9976.0,0.1111111111111111,1109.0,8.0,1101.0
Objective-C,7.0,1.0,6110.0,0.14285714285714285,873.0,6.0,867.0
C,45.0,1.0,8977.0,0.022222222222222223,200.0,44.0,156.0
C,1345.0,36.0,8977.0,0.026765799256505577,241.0,1309.0,0.0
Java,34.0,1.0,9686.0,0.029411764705882353,285.0,33.0,252.0
Kotlin,45.0,3.0,9287.0,0.06666666666666667,620.0,42.0,578.0
C,349.0,1.0,8977.0,0.0028653295128939827,26.0,348.0,0.0
C,1590.0,10.0,8977.0,0.006289308176100629,57.0,1580.0,0.0
C,651.0,13.0,8977.0,0.019969278033794162,180.0,638.0,0.0
C++,208.0,1.0,8461.0,0.004807692307692308,41.0,207.0,0.0
