repo_path,path,original_path
Ruby/rapid7~metasploit-framework,external/source/exploits/CVE-2018-8440/dll/src/Hardlink.cpp,external/source/exploits/CVE-2018-8440/dll/ALPC-TaskSched-LPE/Hardlink.cpp
Ruby/rapid7~metasploit-framework,lib/msf/core/auxiliary/manageengine_xnode/action.rb,lib/msf/core/auxiliary/manage_engine_xnode/action.rb
Ruby/rapid7~metasploit-framework,modules/post/windows/gather/ad_to_sql.rb,modules/post/windows/gather/ad_to_sqlite.rb
Ruby/rapid7~metasploit-framework,lib/msf/core/db_manager/http/authentication/strategies/admin_api_token.rb,lib/msf/core/web_services/authentication/strategies/admin_api_token.rb
Ruby/rapid7~metasploit-framework,lib/msf/core/payload/dalvik.rb,lib/msf/core/payload/android.rb
Ruby/rapid7~metasploit-framework,lib/msf/core/db_manager/http/authentication/strategies/api_token.rb,lib/msf/core/web_services/authentication/strategies/api_token.rb
Ruby/rapid7~metasploit-framework,lib/msf/core/exploit/auto_check.rb,lib/msf/core/exploit/remote/auto_check.rb
Ruby/rapid7~metasploit-framework,lib/metasploit/framework/obfuscation/crandomimzer/code_factory/base.rb,lib/metasploit/framework/obfuscation/crandomizer/code_factory/base.rb
Ruby/rapid7~metasploit-framework,spec/lib/msf/java/rmi/client/registry/builder_spec.rb,spec/lib/msf/core/exploit/remote/java/rmi/client/registry/builder_spec.rb
Ruby/rapid7~metasploit-framework,spec/lib/msf/core/post/linux/busybox_spec.rb,spec/lib/msf/core/post/linux/busy_box_spec.rb
Ruby/rapid7~metasploit-framework,modules/exploits/solaris/lpd/cascade_delete.rb,modules/auxiliary/dos/solaris/lpd/cascade_delete.rb
Ruby/rapid7~metasploit-framework,spec/support/shared/examples/msf/db_manager/import/msf_xml/check_msf_xml_version_with_root_tag.rb,spec/support/shared/examples/msf/db_manager/import/metasploit_framework/xml/check_msf_xml_version_with_root_tag.rb
Ruby/rapid7~metasploit-framework,modules/auxiliary/admin/cisco/cisco_dcnm_download.rb,modules/auxiliary/admin/networking/cisco_dcnm_download.rb
Ruby/rapid7~metasploit-framework,modules/exploits/windows/misc/cisco_webex_ext.rb,modules/exploits/windows/browser/cisco_webex_ext.rb
Ruby/rapid7~metasploit-framework,lib/msf/core/exploit/http/cnpilot.rb,lib/msf/core/auxiliary/cnpilot.rb
Ruby/rapid7~metasploit-framework,modules/exploits/multi/http/coldfusion_rds.rb,modules/exploits/multi/http/coldfusion_rds_auth_bypass.rb
Ruby/rapid7~metasploit-framework,modules/auxiliary/scanner/http/wmap_copy_of_file.rb,modules/auxiliary/scanner/http/copy_of_file.rb
Ruby/rapid7~metasploit-framework,lib/msf/core/db_manager/http/servlet/credential_servlet.rb,lib/msf/core/web_services/servlet/credential_servlet.rb
Ruby/rapid7~metasploit-framework,spec/lib/metasploit/framework/login_scanner/credential_spec.rb,spec/lib/metasploit/framework/credential_spec.rb
Ruby/rapid7~metasploit-framework,modules/auxiliary/admin/smb/cve_2020_1472_zerologon.rb,modules/auxiliary/admin/dcerpc/cve_2020_1472_zerologon.rb
Ruby/rapid7~metasploit-framework,spec/lib/msf/http/jboss/deployment_file_repository_spec.rb,spec/lib/msf/core/exploit/http/jboss/deployment_file_repository_spec.rb
Ruby/rapid7~metasploit-framework,modules/auxiliary/scanner/http/wmap_dir_listing.rb,modules/auxiliary/scanner/http/dir_listing.rb
