project language,project,owner,code language,#,percentil 25,percentil 50,percentil 75,percentil 90,percentil 95,percentil 97,percentil 98,percentil 99
Python,gpt_academic.csv,binary-husky,JavaScript,11,20.0,100.0,280.0,1062.0,2645.0,3279.0,3595.0,3912.0
Python,gpt_academic.csv,binary-husky,Python,178,42.0,80.0,138.0,241.0,398.0,433.0,658.0,734.0
Python,keras.csv,keras-team,JavaScript,2,27.0,28.0,30.0,31.0,31.0,31.0,31.0,31.0
Python,keras.csv,keras-team,Python,745,39.0,96.0,233.0,445.0,705.0,897.0,1088.0,1352.0
Python,private-gpt.csv,zylon-ai,Python,75,8.0,27.0,86.0,167.0,194.0,355.0,448.0,505.0
Python,manim.csv,3b1b,Python,87,49.0,126.0,269.0,463.0,668.0,819.0,920.0,1189.0
Python,ansible.csv,ansible,C#,13,12.0,21.0,406.0,1012.0,1257.0,1338.0,1378.0,1418.0
Python,ansible.csv,ansible,Go,1,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
Python,ansible.csv,ansible,Python,1396,11.0,32.0,103.0,262.0,437.0,603.0,705.0,879.0
Python,face_recognition.csv,ageitgey,Python,30,21.0,35.0,60.0,87.0,104.0,134.0,172.0,210.0
Python,requests.csv,psf,Python,35,15.0,60.0,171.0,515.0,651.0,771.0,1278.0,1812.0
Python,core.csv,home-assistant,JavaScript,2,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Python,core.csv,home-assistant,Python,13357,26.0,67.0,144.0,298.0,474.0,667.0,819.0,1204.0
Python,pytorch.csv,pytorch,C,192,3.0,57.0,186.0,409.0,846.0,911.0,1047.0,1209.0
Python,pytorch.csv,pytorch,C++,1966,48.0,127.0,328.0,760.0,1309.0,1775.0,2133.0,3200.0
Python,pytorch.csv,pytorch,Java,27,11.0,24.0,95.0,370.0,549.0,676.0,787.0,897.0
Python,pytorch.csv,pytorch,JavaScript,5,1.0,241.0,612.0,1199.0,1395.0,1473.0,1512.0,1551.0
Python,pytorch.csv,pytorch,Objective-C,2,10.0,13.0,16.0,18.0,19.0,19.0,19.0,19.0
Python,pytorch.csv,pytorch,Python,3567,36.0,108.0,293.0,762.0,1304.0,1914.0,2505.0,4034.0
Python,pytorch.csv,pytorch,Ruby,2,83.0,98.0,113.0,122.0,125.0,127.0,127.0,128.0
Python,localstack.csv,localstack,C#,4,13.0,21.0,31.0,34.0,35.0,35.0,35.0,35.0
Python,localstack.csv,localstack,Go,2,21.0,30.0,39.0,44.0,46.0,46.0,47.0,47.0
Python,localstack.csv,localstack,Java,8,16.0,30.0,46.0,83.0,91.0,95.0,96.0,98.0
Python,localstack.csv,localstack,JavaScript,31,9.0,12.0,31.0,39.0,55.0,66.0,66.0,66.0
Python,localstack.csv,localstack,Python,1432,14.0,60.0,160.0,448.0,902.0,1347.0,1743.0,2587.0
Python,localstack.csv,localstack,Ruby,4,3.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0
Python,localstack.csv,localstack,Rust,3,13.0,15.0,19.0,21.0,22.0,22.0,22.0,22.0
Python,gpt-engineer.csv,gpt-engineer-org,Python,73,18.0,54.0,92.0,149.0,203.0,248.0,263.0,296.0
Python,whisper.csv,openai,Python,21,23.0,75.0,253.0,463.0,467.0,499.0,514.0,530.0
Python,funNLP.csv,fighting41love,Python,1,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Python,sherlock.csv,sherlock-project,Python,14,13.0,26.0,66.0,94.0,299.0,448.0,523.0,598.0
Python,fastapi.csv,tiangolo,JavaScript,3,101.0,170.0,171.0,171.0,171.0,171.0,171.0,171.0
Python,fastapi.csv,tiangolo,Python,1165,12.0,21.0,85.0,182.0,255.0,305.0,383.0,663.0
Python,cpython.csv,python,C,445,120.0,408.0,1207.0,2427.0,3060.0,4915.0,6012.0,8312.0
Python,cpython.csv,python,C++,7,118.0,246.0,398.0,1297.0,1895.0,2135.0,2254.0,2374.0
Python,cpython.csv,python,JavaScript,5,36.0,48.0,52.0,67.0,72.0,74.0,75.0,76.0
Python,cpython.csv,python,Kotlin,2,36.0,43.0,51.0,55.0,57.0,58.0,58.0,58.0
Python,cpython.csv,python,Objective-C,10,12.0,61.0,107.0,144.0,203.0,226.0,238.0,250.0
Python,cpython.csv,python,Python,1969,37.0,129.0,341.0,842.0,1374.0,1791.0,2261.0,3255.0
Python,d2l-zh.csv,d2l-ai,Python,14,20.0,78.0,906.0,1814.0,1847.0,1849.0,1850.0,1851.0
Python,Real-Time-Voice-Cloning.csv,CorentinJ,Python,57,30.0,52.0,89.0,154.0,259.0,307.0,330.0,390.0
Python,screenshot-to-code.csv,abi,JavaScript,4,9.0,14.0,33.0,60.0,69.0,72.0,74.0,76.0
Python,screenshot-to-code.csv,abi,Python,33,10.0,29.0,51.0,107.0,141.0,171.0,218.0,265.0
Python,screenshot-to-code.csv,abi,TypeScript,75,20.0,26.0,69.0,128.0,185.0,213.0,219.0,244.0
Python,yt-dlp.csv,yt-dlp,Python,1149,57.0,99.0,179.0,339.0,475.0,693.0,858.0,1597.0
