language,#,percentil 25,percentil 50,percentil 75,percentil 90,percentil 95,percentil 97,percentil 98,percentil 99
C,47955,95.0,235.0,562.0,1194.0,1834.0,2394.0,2907.0,3983.0
C#,91730,20.0,46.0,120.0,298.0,525.0,789.0,1066.0,1757.0
C++,29198,47.0,114.0,281.0,667.0,1122.0,1626.0,2130.0,3223.0
Dart,36064,14.0,40.0,110.0,287.0,543.0,795.0,1076.0,1691.0
Elixir,7806,18.0,52.0,137.0,316.0,543.0,798.0,904.0,1161.0
Go,52781,23.0,69.0,189.0,445.0,749.0,1056.0,1441.0,2022.0
Haskell,23951,6.0,15.0,68.0,225.0,426.0,627.0,844.0,1238.0
Java,89885,22.0,50.0,115.0,252.0,406.0,544.0,672.0,952.0
JavaScript,44340,7.0,20.0,57.0,150.0,300.0,459.0,626.0,1055.0
Kotlin,65264,8.0,17.0,40.0,101.0,176.0,250.0,323.0,478.0
Lua,8342,19.0,52.0,147.0,361.0,641.0,955.0,1256.0,2187.0
Objective-C,13100,11.0,11.0,11.0,134.0,283.0,433.0,600.0,970.0
PHP,34633,16.0,37.0,96.0,221.0,401.0,581.0,717.0,1242.0
Perl,4000,29.0,90.0,320.0,1002.0,1529.0,2292.0,3345.0,6367.0
Python,35616,23.0,69.0,169.0,397.0,688.0,957.0,1200.0,1677.0
Ruby,77705,16.0,34.0,73.0,157.0,252.0,352.0,447.0,666.0
Rust,43038,8.0,22.0,88.0,273.0,489.0,693.0,879.0,1302.0
Scala,55438,9.0,25.0,76.0,191.0,323.0,455.0,594.0,898.0
Swift,6647,23.0,54.0,117.0,233.0,348.0,468.0,548.0,716.0
TypeScript,59765,8.0,25.0,79.0,202.0,344.0,487.0,627.0,926.0
