language,#,percentil 25,percentil 50,percentil 75,percentil 90,percentil 95,percentil 97,percentil 98,percentil 99
C,47962,95.0,235.0,562.0,1194.0,1834.0,2394.0,2907.0,3983.0
C#,91137,20.0,46.0,120.0,298.0,525.0,788.0,1065.0,1749.0
C++,29322,47.0,115.0,282.0,670.0,1122.0,1627.0,2133.0,3217.0
Dart,36064,14.0,40.0,110.0,287.0,543.0,795.0,1076.0,1691.0
Elixir,7813,18.0,52.0,137.0,315.0,543.0,798.0,904.0,1161.0
Go,52783,23.0,69.0,189.0,445.0,749.0,1056.0,1441.0,2022.0
Haskell,24184,6.0,16.0,67.0,224.0,420.0,619.0,832.0,1220.0
Java,91098,22.0,50.0,115.0,252.0,406.0,545.0,673.0,953.0
Kotlin,66334,8.0,17.0,41.0,103.0,178.0,253.0,325.0,476.0
Lua,9459,19.0,48.0,134.0,345.0,618.0,944.0,1262.0,2267.0
Objective-C,13097,11.0,11.0,11.0,134.0,283.0,433.0,600.0,970.0
PHP,34958,16.0,37.0,96.0,220.0,399.0,578.0,712.0,1235.0
Perl,4002,29.0,90.0,318.0,1002.0,1528.0,2291.0,3339.0,6366.0
Python,36120,23.0,68.0,168.0,394.0,681.0,951.0,1196.0,1676.0
Ruby,77860,16.0,34.0,73.0,157.0,253.0,352.0,448.0,666.0
Rust,43039,8.0,22.0,88.0,273.0,489.0,693.0,879.0,1305.0
Scala,55451,9.0,25.0,76.0,191.0,323.0,455.0,593.0,896.0
Swift,6690,23.0,54.0,118.0,234.0,353.0,480.0,558.0,724.0
TypeScript,60026,8.0,25.0,79.0,202.0,345.0,488.0,630.0,930.0
