language,#,percentil 25,percentil 50,percentil 75,percentil 90,percentil 95,percentil 97,percentil 98,percentil 99
ABAP,1,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
ANTLR Grammar,38,92.0,240.0,418.0,1447.0,1627.0,1657.0,1662.0,1663.0
APL,2,86.0,164.0,242.0,288.0,304.0,310.0,313.0,316.0
ASP,7,12.0,25.0,32.0,43.0,51.0,54.0,55.0,57.0
ASP.NET,12,20.0,116.0,143.0,143.0,143.0,143.0,143.0,143.0
ActionScript,92,13.0,53.0,105.0,321.0,369.0,460.0,481.0,508.0
Ada,4,244.0,257.0,280.0,300.0,307.0,310.0,311.0,312.0
Agda,2,35.0,42.0,50.0,54.0,56.0,57.0,57.0,57.0
Ant,36,10.0,17.0,30.0,66.0,109.0,182.0,232.0,285.0
Apex Class,7,51.0,62.0,246.0,492.0,600.0,644.0,665.0,687.0
Apex Trigger,5,14.0,17.0,20.0,25.0,27.0,28.0,28.0,28.0
Arduino Sketch,839,48.0,102.0,245.0,603.0,1000.0,1576.0,1820.0,2541.0
AsciiDoc,3252,16.0,53.0,135.0,287.0,451.0,580.0,689.0,878.0
AspectJ,15,16.0,31.0,37.0,44.0,47.0,48.0,49.0,50.0
Assembly,3790,27.0,79.0,259.0,712.0,1420.0,2142.0,3042.0,4551.0
Asymptote,3,29.0,34.0,41.0,45.0,46.0,47.0,47.0,47.0
AutoHotkey,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bazel,1551,26.0,64.0,178.0,431.0,757.0,1093.0,1470.0,2208.0
Blade,712,6.0,18.0,47.0,91.0,151.0,180.0,236.0,343.0
Bourne Again Shell,798,8.0,18.0,44.0,111.0,187.0,238.0,330.0,513.0
Bourne Shell,11302,10.0,25.0,67.0,157.0,278.0,423.0,565.0,901.0
Brainfuck,5,26.0,120.0,436.0,459.0,466.0,469.0,471.0,472.0
BrightScript,1,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0
C,56781,85.0,219.0,538.0,1170.0,1818.0,2412.0,2968.0,4197.0
C Shell,8,9.0,29.0,64.0,885.0,1835.0,2215.0,2405.0,2595.0
C#,94157,20.0,47.0,120.0,297.0,520.0,780.0,1053.0,1762.0
C# Designer,29,18.0,36.0,77.0,94.0,155.0,215.0,267.0,319.0
