idx,url,main language,stars,owner,project,branch
3,https://github.com/antirez/redis,C,65.1k,antirez,redis,unstable
22,https://github.com/libuv/libuv,C,23.4k,libuv,libuv,v1.x
25,https://github.com/facebook/zstd,C,22.5k,facebook,zstd,dev
28,https://github.com/arendst/Tasmota,C,21.4k,arendst,Tasmota,development
39,https://github.com/ShareX/ShareX,C#,27.9k,ShareX,ShareX,develop
52,https://github.com/BeyondDimension/SteamTools,C#,18.4k,BeyondDimension,SteamTools,develop
54,https://github.com/Unity-Technologies/ml-agents,C#,16.4k,Unity-Technologies,ml-agents,develop
59,https://github.com/OpenRA/OpenRA,C#,14.2k,OpenRA,OpenRA,bleed
60,https://github.com/rocksdanister/lively,C#,14.2k,rocksdanister,lively,core-separation
67,https://github.com/opencv/opencv,C++,75.9k,opencv,opencv,4.x
75,https://github.com/x64dbg/x64dbg,C++,43.3k,x64dbg,x64dbg,development
77,https://github.com/nlohmann/json,C++,40.6k,nlohmann,json,develop
84,https://github.com/carbon-language/carbon-lang,C++,32.3k,carbon-language,carbon-lang,trunk
141,https://github.com/asciinema/asciinema-server,Elixir,2.2k,asciinema,asciinema-server,develop
153,https://github.com/fatedier/frp,Go,80.5k,fatedier,frp,dev
179,https://github.com/cli/cli,Go,35.6k,cli,cli,trunk
187,https://github.com/unisonweb/unison,Haskell,5.6k,unisonweb,unison,trunk
189,https://github.com/simplex-chat/simplex-chat,Haskell,5.4k,simplex-chat,simplex-chat,stable
195,https://github.com/input-output-hk/cardano-sl,Haskell,3.8k,input-output-hk,cardano-sl,develop
199,https://github.com/koka-lang/koka,Haskell,3.1k,koka-lang,koka,dev
205,https://github.com/ghcjs/ghcjs,Haskell,2.6k,ghcjs,ghcjs,ghc-8.10
207,https://github.com/wireapp/wire-server,Haskell,2.6k,wireapp,wire-server,develop
216,https://github.com/ReactiveX/RxJava,Java,47.7k,ReactiveX,RxJava,3.x
217,https://github.com/apache/dubbo,Java,40.1k,apache,dubbo,3.2
219,https://github.com/dbeaver/dbeaver,Java,37.7k,dbeaver,dbeaver,devel
224,https://github.com/netty/netty,Java,32.9k,netty,netty,4.1
228,https://github.com/SeleniumHQ/selenium,Java,29.4k,SeleniumHQ,selenium,trunk
229,https://github.com/alibaba/nacos,Java,29.2k,alibaba,nacos,develop
230,https://github.com/TeamNewPipe/NewPipe,Java,28.9k,TeamNewPipe,NewPipe,dev
233,https://github.com/apache/kafka,Java,27.5k,apache,kafka,trunk
234,https://github.com/alibaba/spring-cloud-alibaba,Java,27.4k,alibaba,spring-cloud-alibaba,2023.x
244,https://github.com/vercel/next.js,Javascript,121k,vercel,next.js,canary
246,https://github.com/axios/axios,Javascript,104k,axios,axios,v1.x
248,https://github.com/mrdoob/three.js,Javascript,99.4k,mrdoob,three.js,dev
250,https://github.com/mermaid-js/mermaid,Javascript,67.6k,mermaid-js,mermaid,develop
265,https://github.com/moment/moment,Javascript,47.8k,moment,moment,develop
266,https://github.com/jgraph/drawio-desktop,Javascript,47.1k,jgraph,drawio-desktop,dev
270,https://github.com/cypress-io/cypress,Javascript,46.2k,cypress-io,cypress,develop
290,https://github.com/mamoe/mirai,Kotlin,14k,mamoe,mirai,dev
295,https://github.com/JakeWharton/timber,Kotlin,10.3k,JakeWharton,timber,trunk
303,https://github.com/NvChad/NvChad,Lua,23.2k,NvChad,NvChad,v2.5
311,https://github.com/xmake-io/xmake,Lua,9.3k,xmake-io,xmake,dev
317,https://github.com/ntop/ntopng,Lua,6k,ntop,ntopng,dev
328,https://github.com/PathOfBuildingCommunity/PathOfBuilding,Lua,3.6k,PathOfBuildingCommunity,PathOfBuilding,dev
359,https://github.com/jessesquires/JSQMessagesViewController,Objective-C,11.2k,jessesquires,JSQMessagesViewController,develop
362,https://github.com/so-fancy/diff-so-fancy,Perl,17.1k,so-fancy,diff-so-fancy,next
377,https://github.com/sqitchers/sqitch,Perl,2.7k,sqitchers,sqitch,develop
382,https://github.com/SpiderLabs/owasp-modsecurity-crs,Perl,2.4k,SpiderLabs,owasp-modsecurity-crs,v3.3/dev
388,https://github.com/Difegue/LANraragi,Perl,2k,Difegue,LANraragi,dev
391,https://github.com/laravel/laravel,PHP,77k,laravel,laravel,11.x
392,https://github.com/laravel/framework,PHP,31.6k,laravel,framework,11.x
394,https://github.com/symfony/symfony,PHP,29.4k,symfony,symfony,7.2
398,https://github.com/guzzle/guzzle,PHP,23k,guzzle,guzzle,7.8
404,https://github.com/matomo-org/matomo,PHP,19.1k,matomo-org,matomo,5.x-dev
406,https://github.com/bcit-ci/CodeIgniter,PHP,18.3k,bcit-ci,CodeIgniter,develop
414,https://github.com/getgrav/grav,PHP,14.3k,getgrav,grav,develop
417,https://github.com/cachethq/cachet,PHP,13.7k,cachethq,cachet,2.4
418,https://github.com/Intervention/image,PHP,13.7k,Intervention,image,develop
419,https://github.com/thephpleague/flysystem,PHP,13.2k,thephpleague,flysystem,3.x
430,https://github.com/home-assistant/core,Python,69.1k,home-assistant,core,dev
434,https://github.com/ansible/ansible,Python,61.4k,ansible,ansible,devel
465,https://github.com/chatwoot/chatwoot,Ruby,18.8k,chatwoot,chatwoot,develop
469,https://github.com/diaspora/diaspora,Ruby,13.4k,diaspora,diaspora,develop
483,https://github.com/tauri-apps/tauri,Rust,78k,tauri-apps,tauri,dev
488,https://github.com/lencx/ChatGPT,Rust,48.2k,lencx,ChatGPT,v2-dev
515,https://github.com/scala/scala,Scala,14.3k,scala,scala,2.13.x
517,https://github.com/apache/predictionio,Scala,12.5k,apache,predictionio,develop
522,https://github.com/twitter/finagle,Scala,8.7k,twitter,finagle,develop
524,https://github.com/enso-org/enso,Scala,7.3k,enso-org,enso,develop
534,https://github.com/sbt/sbt,Scala,4.8k,sbt,sbt,1.10.x
539,https://github.com/zio/zio,Scala,4k,zio,zio,series/2.x
542,https://github.com/iina/iina,Swift,36.5k,iina,iina,develop
543,https://github.com/shadowsocks/ShadowsocksX-NG,Swift,32.2k,shadowsocks,ShadowsocksX-NG,develop
554,https://github.com/HeroTransitions/Hero,Swift,21.8k,HeroTransitions,Hero,develop
558,https://github.com/SnapKit/SnapKit,Swift,19.8k,SnapKit,SnapKit,develop
564,https://github.com/ianyh/Amethyst,Swift,14.2k,ianyh,Amethyst,development
570,https://github.com/CosmicMind/Material,Swift,12k,CosmicMind,Material,development
575,https://github.com/mui/material-ui,TypeScript,91.8k,mui,material-ui,next
578,https://github.com/tailwindlabs/tailwindcss,TypeScript,78.9k,tailwindlabs,tailwindcss,next
600,https://github.com/nocodb/nocodb,TypeScript,42.9k,nocodb,nocodb,develop
