language,total,large files p/ project,large files total,small files total,small proportion,small files p/ project,files available,files missing
C,90450.0,901.0,25828.0,394988.0,1.534923339011925,13805.0,89549.0,171.0
C#,81150.0,923.0,17537.0,180709.0,1.0,9524.0,80227.0,38.0
C++,38025.0,421.0,14735.0,296135.0,1.0,8486.0,37604.0,93.0
Dart,33453.0,381.0,4953.0,107692.0,1.0,8288.0,33072.0,11.0
Elixir,6465.0,83.0,1245.0,69420.0,1.0,4634.0,6382.0,1388.0
Go,57404.0,608.0,16416.0,243459.0,1.0,9026.0,56796.0,136.0
Haskell,23437.0,247.0,4940.0,148060.0,1.0,7408.0,23190.0,1311.0
Java,102381.0,1117.0,51382.0,445556.0,1.0,9709.0,101264.0,25.0
JavaScript,163068.0,1671.0,212217.0,1266952.0,1.0,10000.0,161397.0,209.0
Kotlin,73899.0,753.0,29367.0,362193.0,1.0,9302.0,73146.0,321.0
Lua,7333.0,104.0,832.0,41688.0,1.0,5215.0,7229.0,2822.0
Objective-C,13245.0,146.0,4234.0,177190.0,1.0,6119.0,13099.0,2627.0
PHP,53719.0,568.0,13632.0,214224.0,1.0,8939.0,53151.0,26.0
Perl,3313.0,60.0,180.0,11076.0,1.0,3694.0,3253.0,2944.0
Python,51437.0,574.0,23940.0,375270.0,1.0070175438596491,9018.0,50863.0,76.0
Ruby,82494.0,845.0,26195.0,291989.0,1.0,9437.0,81649.0,21.0
Rust,47229.0,484.0,16940.0,304150.0,1.0,8700.0,46745.0,143.0
Scala,55580.0,568.0,14200.0,223150.0,1.0,8938.0,55012.0,128.0
Swift,25812.0,278.0,8896.0,244768.0,1.0,7667.0,25534.0,1509.0
TypeScript,87353.0,920.0,50600.0,522940.0,1.0,9540.0,86433.0,14.0
