repo_path,path,original_path
TypeScript/microsoft~vscode,src/vs/workbench/contrib/notebook/browser/viewModel/notebookOutlineEntryFactory.ts,src/vs/workbench/contrib/notebook/browser/viewModel/NotebookOutlineEntryCacheService.ts
TypeScript/microsoft~vscode,src/vs/base/browser/ui/scrollbar/impl/abstractScrollbar.ts,src/vs/base/browser/ui/scrollbar/abstractScrollbar.ts
TypeScript/microsoft~vscode,src/vs/workbench/services/workspace/browser/abstractWorkspaceEditingService.ts,src/vs/workbench/services/workspaces/browser/abstractWorkspaceEditingService.ts
TypeScript/microsoft~vscode,src/vs/workbench/contrib/codeEditor/electron-browser/accessibility.ts,src/vs/workbench/contrib/codeEditor/browser/accessibility/accessibility.ts
TypeScript/microsoft~vscode,src/vs/workbench/contrib/accessibility/browser/accessibilityCommands.ts,src/vs/workbench/contrib/accessibility/common/accessibilityCommands.ts
TypeScript/microsoft~vscode,src/vs/workbench/contrib/audioCues/browser/audioCues.contribution.ts,src/vs/workbench/contrib/accessibilitySignals/browser/accessibilitySignal.contribution.ts
TypeScript/microsoft~vscode,src/vs/workbench/contrib/accessibility/browser/accessibilityContributions.ts,src/vs/workbench/contrib/accessibility/browser/accessibleViewContributions.ts
TypeScript/microsoft~vscode,src/vs/workbench/test/browser/actionRegistry.test.ts,src/vs/base/test/browser/actionbar.test.ts
TypeScript/microsoft~vscode,extensions/typescript-language-features/src/utils/activeJsTsEditorTracker.ts,extensions/typescript-language-features/src/ui/activeJsTsEditorTracker.ts
TypeScript/microsoft~vscode,src/vs/workbench/services/activity/common/activityBarService.ts,src/vs/workbench/services/activity/common/activity.ts
TypeScript/microsoft~vscode,src/vs/workbench/contrib/chat/test/browser/chatMarkdownDecorationsRenderer.test.ts,src/vs/workbench/contrib/chat/test/common/annotations.test.ts
TypeScript/microsoft~vscode,extensions/git/src/api/api0.ts,extensions/git/src/api/api1.ts
TypeScript/microsoft~vscode,src/vs/code/test/node/argv.test.ts,src/vs/platform/environment/test/node/argv.test.ts
TypeScript/microsoft~vscode,src/vs/workbench/test/browser/arrayOperation.test.ts,src/vs/workbench/services/textMate/test/browser/arrayOperation.test.ts
TypeScript/microsoft~vscode,extensions/typescript/src/utils/arrays.ts,extensions/typescript-language-features/src/utils/arrays.ts
TypeScript/microsoft~vscode,extensions/php/src/features/utils/async.ts,extensions/php-language-features/src/features/utils/async.ts
TypeScript/microsoft~vscode,extensions/github-authentication/src/authServer.ts,extensions/github-authentication/src/node/authServer.ts
TypeScript/microsoft~vscode,extensions/html-language-features/client/src/tagClosing.ts,extensions/html-language-features/client/src/autoInsertion.ts
TypeScript/microsoft~vscode,src/vs/base/common/observableImpl/autorun.ts,src/vs/base/common/observableInternal/autorun.ts
TypeScript/microsoft~vscode,src/vs/platform/windows/electron-main/auxiliaryWindow.ts,src/vs/platform/auxiliaryWindow/electron-main/auxiliaryWindow.ts
TypeScript/microsoft~vscode,src/vs/platform/backup/node/backupMainService.ts,src/vs/platform/backup/electron-main/backupMainService.ts
TypeScript/microsoft~vscode,src/vs/editor/contrib/unicodeHighlighter/bannerController.ts,src/vs/editor/contrib/unicodeHighlighter/browser/bannerController.ts
TypeScript/microsoft~vscode,src/vs/workbench/parts/debug/test/browser/baseDebugView.test.ts,src/vs/workbench/contrib/debug/test/browser/baseDebugView.test.ts
TypeScript/microsoft~vscode,src/vs/base/browser/ui/hover/hoverWidget.ts,src/vs/base/browser/ui/hover/baseHoverWidget.ts
TypeScript/microsoft~vscode,extensions/image-preview/src/binarySizeStatusBarEntry.ts,extensions/media-preview/src/binarySizeStatusBarEntry.ts
