repo_path,path,original_path
C/FFmpeg~FFmpeg,libavcodec/api-flac-test.c,tests/api/api-flac-test.c
C/FFmpeg~FFmpeg,libavcodec/dct32.c,libavcodec/dct32_template.c
C/FFmpeg~FFmpeg,libavcodec/hapqa_extract_bsf.c,libavcodec/bsf/hapqa_extract.c
C/FFmpeg~FFmpeg,libavdevice/oss_audio.c,libavdevice/oss.c
C/FFmpeg~FFmpeg,qt-faststart.c,tools/qt-faststart.c
C/FFmpeg~FFmpeg,libav/rm.c,libavformat/rm.c
C/FFmpeg~FFmpeg,libavdevice/timefilter-test.c,libavdevice/tests/timefilter.c
C/FFmpeg~FFmpeg,libavformat/url-test.c,libavformat/tests/url.c
C/FFmpeg~FFmpeg,libavcodec/utvideo.c,libavcodec/utvideodec.c
C/FFmpeg~FFmpeg,libavfilter/vf_decimate.c,libavfilter/vf_mpdecimate.c
