url,main language,stars,owner,project,branch
https://github.com/facebook/react,JavaScript,223k,facebook,react,main
https://github.com/twbs/bootstrap,JavaScript,168k,twbs,bootstrap,main
https://github.com/Significant-Gravitas/AutoGPT,JavaScript,162k,Significant-Gravitas,AutoGPT,master
https://github.com/vercel/next.js,JavaScript,121k,vercel,next.js,canary
https://github.com/nodejs/node,JavaScript,104k,nodejs,node,main
https://github.com/axios/axios,JavaScript,104k,axios,axios,v1.x
https://github.com/facebook/create-react-app,JavaScript,102k,facebook,create-react-app,main
https://github.com/mrdoob/three.js,JavaScript,99.4k,mrdoob,three.js,dev
https://github.com/sveltejs/svelte,JavaScript,76.8k,sveltejs,svelte,main
https://github.com/mermaid-js/mermaid,JavaScript,67.6k,mermaid-js,mermaid,develop
https://github.com/hakimel/reveal.js,JavaScript,67k,hakimel,reveal.js,master
https://github.com/anuraghazra/github-readme-stats,JavaScript,65.4k,anuraghazra,github-readme-stats,master
https://github.com/webpack/webpack,JavaScript,64.2k,webpack,webpack,main
https://github.com/chartjs/Chart.js,JavaScript,63.6k,chartjs,Chart.js,master
https://github.com/resume/resume.github.com,JavaScript,61.5k,resume,resume.github.com,master
https://github.com/atom/atom,JavaScript,60k,atom,atom,master
https://github.com/lodash/lodash,JavaScript,59k,lodash,lodash,main
https://github.com/jquery/jquery,JavaScript,58.9k,jquery,jquery,main
https://github.com/angular/angular.js,JavaScript,58.9k,angular,angular.js,master
https://github.com/gatsbyjs/gatsby,JavaScript,55.1k,gatsbyjs,gatsby,master
https://github.com/Semantic-Org/Semantic-UI,JavaScript,51k,Semantic-Org,Semantic-UI,master
https://github.com/louislam/uptime-kuma,JavaScript,50.5k,louislam,uptime-kuma,master
https://github.com/juliangarnier/anime,JavaScript,48.8k,juliangarnier,anime,master
https://github.com/prettier/prettier,JavaScript,48.4k,prettier,prettier,main
https://github.com/moment/moment,JavaScript,47.8k,moment,moment,develop
https://github.com/jgraph/drawio-desktop,JavaScript,47.1k,jgraph,drawio-desktop,dev
https://github.com/mozilla/pdf.js,JavaScript,46.5k,mozilla,pdf.js,master
https://github.com/algorithm-visualizer/algorithm-visualizer,JavaScript,46.3k,algorithm-visualizer,algorithm-visualizer,master
https://github.com/cypress-io/cypress,JavaScript,46.2k,cypress-io,cypress,develop
https://github.com/serverless/serverless,JavaScript,46.5k,serverless,serverless,main
