url,main language,stars,owner,project,branch
https://github.com/spring-projects/spring-boot,Java,73.1k,spring-projects,spring-boot,main
https://github.com/elastic/elasticsearch,Java,68.1k,elastic,elasticsearch,main
https://github.com/spring-projects/spring-framework,Java,55.3k,spring-projects,spring-framework,main
https://github.com/google/guava,Java,49.5k,google,guava,master
https://github.com/NationalSecurityAgency/ghidra,Java,48.1k,NationalSecurityAgency,ghidra,master
https://github.com/ReactiveX/RxJava,Java,47.7k,ReactiveX,RxJava,3.x
https://github.com/apache/dubbo,Java,40.1k,apache,dubbo,3.3
https://github.com/jeecgboot/jeecg-boot,Java,38k,jeecgboot,jeecg-boot,master
https://github.com/dbeaver/dbeaver,Java,37.7k,dbeaver,dbeaver,devel
https://github.com/PhilJay/MPAndroidChart,Java,37.3k,PhilJay,MPAndroidChart,master
https://github.com/alibaba/arthas,Java,34.8k,alibaba,arthas,master
https://github.com/airbnb/lottie-android,Java,34.7k,airbnb,lottie-android,master
https://github.com/bumptech/glide,Java,34.4k,bumptech,glide,master
https://github.com/netty/netty,Java,32.9k,netty,netty,4.1
https://github.com/zxing/zxing,Java,32.3k,zxing,zxing,master
https://github.com/termux/termux-app,Java,31.5k,termux,termux-app,master
https://github.com/alibaba/easyexcel,Java,31.1k,alibaba,easyexcel,master
https://github.com/SeleniumHQ/selenium,Java,29.4k,SeleniumHQ,selenium,trunk
https://github.com/alibaba/nacos,Java,29.2k,alibaba,nacos,develop
https://github.com/TeamNewPipe/NewPipe,Java,28.9k,TeamNewPipe,NewPipe,dev
https://github.com/apolloconfig/apollo,Java,28.8k,apolloconfig,apollo,master
https://github.com/alibaba/druid,Java,27.7k,alibaba,druid,master
https://github.com/apache/kafka,Java,27.5k,apache,kafka,trunk
https://github.com/alibaba/spring-cloud-alibaba,Java,27.4k,alibaba,spring-cloud-alibaba,2023.x
https://github.com/lenve/vhr,Java,27k,lenve,vhr,master
https://github.com/Stirling-Tools/Stirling-PDF,Java,27k,Stirling-Tools,Stirling-PDF,main
https://github.com/xuxueli/xxl-job,Java,26.7k,xuxueli,xxl-job,master
https://github.com/qiurunze123/miaosha,Java,26.1k,qiurunze123,miaosha,master
https://github.com/alibaba/fastjson,Java,25.6k,alibaba,fastjson,master
https://github.com/signalapp/Signal-Android,Java,25k,signalapp,Signal-Android,main
