idx,url,main language,stars,owner,project,branch
1,https://github.com/Genymobile/scrcpy,C,103k,Genymobile,scrcpy,master
2,https://github.com/firehol/netdata,C,68k,firehol,netdata,master
3,https://github.com/antirez/redis,C,65.1k,antirez,redis,unstable
4,https://github.com/ventoy/Ventoy,C,58.2k,ventoy,Ventoy,master
5,https://github.com/obsproject/obs-studio,C,56k,obsproject,obs-studio,master
6,https://github.com/git/git,C,50.3k,git,git,master
7,https://github.com/FFmpeg/FFmpeg,C,42.8k,FFmpeg,FFmpeg,master
8,https://github.com/php/php-src,C,37.4k,php,php-src,master
9,https://github.com/wg/wrk,C,36.9k,wg,wrk,master
10,https://github.com/curl/curl,C,34.4k,curl,curl,master
11,https://github.com/tmux/tmux,C,33.2k,tmux,tmux,master
12,https://github.com/Bilibili/ijkplayer,C,32.1k,Bilibili,ijkplayer,master
13,https://github.com/ggerganov/whisper.cpp,C,31.8k,ggerganov,whisper.cpp,master
14,https://github.com/jqlang/jq,C,29.2k,jqlang,jq,master
15,https://github.com/coolsnowwolf/lede,C,28.8k,coolsnowwolf,lede,master
16,https://github.com/pbatard/rufus,C,27k,pbatard,rufus,master
17,https://github.com/lizongying/my-tv,C,26.4k,lizongying,my-tv,main
18,https://github.com/mpv-player/mpv,C,26.2k,mpv-player,mpv,master
19,https://github.com/ggreer/the_silver_searcher,C,25.8k,ggreer,the_silver_searcher,master
20,https://github.com/pjreddie/darknet,C,25.4k,pjreddie,darknet,master
21,https://github.com/openssl/openssl,C,24.3k,openssl,openssl,master
22,https://github.com/libuv/libuv,C,23.4k,libuv,libuv,v1.x
23,https://github.com/taosdata/TDengine,C,22.9k,taosdata,TDengine,main
24,https://github.com/robertdavidgraham/masscan,C,22.7k,robertdavidgraham,masscan,master
25,https://github.com/facebook/zstd,C,22.5k,facebook,zstd,dev
26,https://github.com/valinet/ExplorerPatcher,C,22k,valinet,ExplorerPatcher,master
27,https://github.com/koekeishiya/yabai,C,21.8k,koekeishiya,yabai,master
28,https://github.com/arendst/Tasmota,C,21.4k,arendst,Tasmota,development
29,https://github.com/kingToolbox/WindTerm,C,20.8k,kingToolbox,WindTerm,master
30,https://github.com/nginx/nginx,C,20.4k,nginx,nginx,master
31,https://github.com/microsoft/PowerToys,C#,105k,microsoft,PowerToys,main
32,https://github.com/2dust/v2rayN,C#,62k,2dust,v2rayN,master
33,https://github.com/shadowsocks/shadowsocks-windows,C#,58k,shadowsocks,shadowsocks-windows,main
34,https://github.com/PowerShell/PowerShell,C#,43.5k,PowerShell,PowerShell,master
35,https://github.com/dotnet/aspnetcore,C#,34.5k,dotnet,aspnetcore,main
36,https://github.com/files-community/Files,C#,32.2k,files-community,Files,main
37,https://github.com/jellyfin/jellyfin,C#,30.5k,jellyfin,jellyfin,master
38,https://github.com/ShareX/ShareX,C#,27.9k,ShareX,ShareX,develop
39,https://github.com/huiyadanli/RevokeMsgPatcher,C#,26.5k,huiyadanli,RevokeMsgPatcher,master
40,https://github.com/dnSpy/dnSpy,C#,25.6k,dnSpy,dnSpy,master
41,https://github.com/AvaloniaUI/Avalonia,C#,24k,AvaloniaUI,Avalonia,master
42,https://github.com/DevToys-app/DevToys,C#,23.7k,DevToys-app,DevToys,main
43,https://github.com/CodeHubApp/CodeHub,C#,22.9k,CodeHubApp,CodeHub,master
44,https://github.com/mxgmn/WaveFunctionCollapse,C#,22.8k,mxgmn,WaveFunctionCollapse,master
45,https://github.com/NickeManarin/ScreenToGif,C#,22.8k,NickeManarin,ScreenToGif,master
46,https://github.com/dotnet/maui,C#,21.6k,dotnet,maui,main
47,https://github.com/icsharpcode/ILSpy,C#,20.4k,icsharpcode,ILSpy,master
48,https://github.com/leiurayer/downkyi,C#,19.3k,leiurayer,downkyi,main
49,https://github.com/dotnet/roslyn,C#,18.6k,dotnet,roslyn,main
50,https://github.com/microsoft/semantic-kernel,C#,18.5k,microsoft,semantic-kernel,main
51,https://github.com/BeyondDimension/SteamTools,C#,18.4k,BeyondDimension,SteamTools,develop
52,https://github.com/DapperLib/Dapper,C#,17.2k,DapperLib,Dapper,main
53,https://github.com/Unity-Technologies/ml-agents,C#,16.4k,Unity-Technologies,ml-agents,develop
54,https://github.com/QL-Win/QuickLook,C#,16.3k,QL-Win,QuickLook,master
55,https://github.com/netchx/netch,C#,16k,netchx,netch,main
56,https://github.com/ppy/osu,C#,14.4k,ppy,osu,master
57,https://github.com/dotnet/runtime,C#,14.2k,dotnet,runtime,main
58,https://github.com/OpenRA/OpenRA,C#,14.2k,OpenRA,OpenRA,bleed
59,https://github.com/rocksdanister/lively,C#,14.2k,rocksdanister,lively,core-separation
60,https://github.com/OpenRA/OpenRA,C#,14.8k,OpenRA,OpenRA,bleed
61,https://github.com/tensorflow/tensorflow,C++,183k,tensorflow,tensorflow,master
62,https://github.com/facebook/react-native,C++,116k,facebook,react-native,main
63,https://github.com/electron/electron,C++,112k,electron,electron,main
64,https://github.com/microsoft/terminal,C++,93.7k,microsoft,terminal,main
65,https://github.com/godotengine/godot,C++,84.5k,godotengine,godot,master
66,https://github.com/bitcoin/bitcoin,C++,76.4k,bitcoin,bitcoin,master
67,https://github.com/opencv/opencv,C++,75.9k,opencv,opencv,4.x
68,https://github.com/apple/swift,C++,66.1k,apple,swift,main
69,https://github.com/nomic-ai/gpt4all,C++,65.1k,nomic-ai,gpt4all,main
70,https://github.com/protocolbuffers/protobuf,C++,63.8k,protocolbuffers,protobuf,main
71,https://github.com/tesseract-ocr/tesseract,C++,58.5k,tesseract-ocr,tesseract,main
72,https://github.com/ggerganov/llama.cpp,C++,58.3k,ggerganov,llama.cpp,master
73,https://github.com/ocornut/imgui,C++,56.3k,ocornut,imgui,master
74,https://github.com/topjohnwu/Magisk,C++,44.6k,topjohnwu,Magisk,master
75,https://github.com/x64dbg/x64dbg,C++,43.3k,x64dbg,x64dbg,development
76,https://github.com/grpc/grpc,C++,40.9k,grpc,grpc,master
77,https://github.com/nlohmann/json,C++,40.6k,nlohmann,json,develop
78,https://github.com/google/leveldb,C++,35.2k,google,leveldb,main
79,https://github.com/ClickHouse/ClickHouse,C++,34.6k,ClickHouse,ClickHouse,master
80,https://github.com/BVLC/caffe,C++,33.9k,BVLC,caffe,master
81,https://github.com/aria2/aria2,C++,33.7k,aria2,aria2,master
82,https://github.com/google/googletest,C++,33.2k,google,googletest,main
83,https://github.com/WerWolv/ImHex,C++,33.2k,WerWolv,ImHex,master
84,https://github.com/carbon-language/carbon-lang,C++,32.3k,carbon-language,carbon-lang,trunk
85,https://github.com/CMU-Perceptual-Computing-Lab/openpose,C++,30k,CMU-Perceptual-Computing-Lab,openpose,master
86,https://github.com/ariya/phantomjs,C++,29.4k,ariya,phantomjs,master
87,https://github.com/microsoft/calculator,C++,29k,microsoft,calculator,main
88,https://github.com/SerenityOS/serenity,C++,29k,SerenityOS,serenity,master
89,https://github.com/facebookresearch/faiss,C++,28.5k,facebookresearch,faiss,main
90,https://github.com/facebook/rocksdb,C++,27.5k,facebook,rocksdb,main
121,https://github.com/elixir-lang/elixir,Elixir,23.4k,elixir-lang,elixir,main
122,https://github.com/phoenixframework/phoenix,Elixir,20.7,phoenixframework,phoenix,main
123,https://github.com/plausible/analytics,Elixir,18.6k,plausible,analytics,master
124,https://github.com/supabase/realtime,Elixir,6.5k,supabase,realtime,main
125,https://github.com/firezone/firezone,Elixir,6.3k,firezone,firezone,main
126,https://github.com/elixir-ecto/ecto,Elixir,6k,elixir-ecto,ecto,master
127,https://github.com/phoenixframework/phoenix_live_view,Elixir,5.8k,phoenixframework,phoenix_live_view,main
128,https://github.com/papercups-io/papercups,Elixir,5.6k,papercups-io,papercups,master
129,https://github.com/teslamate-org/teslamate,Elixir,5.3k,teslamate-org,teslamate,master
