url,main language,stars,owner,project,branch
https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,132k,AUTOMATIC1111,stable-diffusion-webui,master
https://github.com/ytdl-org/youtube-dl,Python,129k,ytdl-org,youtube-dl,master
https://github.com/huggingface/transformers,Python,126k,huggingface,transformers,main
https://github.com/langchain-ai/langchain,Python,85.4k,langchain-ai,langchain,master
https://github.com/nvbn/thefuck,Python,83.1k,nvbn,thefuck,master
https://github.com/django/django,Python,77.2k,django,django,main
https://github.com/yt-dlp/yt-dlp,Python,72.5k,yt-dlp,yt-dlp,master
https://github.com/tiangolo/fastapi,Python,71.7k,tiangolo,fastapi,master
https://github.com/home-assistant/core,Python,69.1k,home-assistant,core,dev
https://github.com/pallets/flask,Python,66.6k,pallets,flask,main
https://github.com/fighting41love/funNLP,Python,64.7k,fighting41love,funNLP,master
https://github.com/openai/whisper,Python,61.6k,openai,whisper,main
https://github.com/ansible/ansible,Python,61.4k,ansible,ansible,devel
https://github.com/keras-team/keras,Python,61.1k,keras-team,keras,master
https://github.com/python/cpython,Python,60k,python,cpython,main
https://github.com/binary-husky/gpt_academic,Python,58.8k,binary-husky,gpt_academic,master
https://github.com/3b1b/manim,Python,58.8k,3b1b,manim,master
https://github.com/scikit-learn/scikit-learn,Python,58.4k,scikit-learn,scikit-learn,main
https://github.com/xtekky/gpt4free,Python,58.2k,xtekky,gpt4free,main
https://github.com/d2l-ai/d2l-zh,Python,57.4k,d2l-ai,d2l-zh,master
https://github.com/localstack/localstack,Python,52.4k,localstack,localstack,master
https://github.com/zylon-ai/private-gpt,Python,52.3k,zylon-ai,private-gpt,main
https://github.com/ageitgey/face_recognition,Python,52k,ageitgey,face_recognition,master
https://github.com/sherlock-project/sherlock,Python,51.7k,sherlock-project,sherlock,master
https://github.com/psf/requests,Python,51.4k,psf,requests,main
https://github.com/abi/screenshot-to-code,Python,51.4k,abi,screenshot-to-code,main
https://github.com/scrapy/scrapy,Python,51.2k,scrapy,scrapy,master
https://github.com/CorentinJ/Real-Time-Voice-Cloning,Python,51k,CorentinJ,Real-Time-Voice-Cloning,master
https://github.com/gpt-engineer-org/gpt-engineer,Python,50.8k,gpt-engineer-org,gpt-engineer,main
