url,main language,stars,owner,project,branch
https://github.com/microsoft/PowerToys,C#,105k,microsoft,PowerToys,main
https://github.com/2dust/v2rayN,C#,62k,2dust,v2rayN,master
https://github.com/shadowsocks/shadowsocks-windows,C#,58k,shadowsocks,shadowsocks-windows,main
https://github.com/PowerShell/PowerShell,C#,43.5k,PowerShell,PowerShell,master
https://github.com/dotnet/aspnetcore,C#,34.5k,dotnet,aspnetcore,main
https://github.com/files-community/Files,C#,32.2k,files-community,Files,main
https://github.com/jellyfin/jellyfin,C#,30.5k,jellyfin,jellyfin,master
https://github.com/ShareX/ShareX,C#,27.9k,ShareX,ShareX,develop
https://github.com/huiyadanli/RevokeMsgPatcher,C#,26.5k,huiyadanli,RevokeMsgPatcher,master
https://github.com/dnSpy/dnSpy,C#,25.6k,dnSpy,dnSpy,master
https://github.com/AvaloniaUI/Avalonia,C#,24k,AvaloniaUI,Avalonia,master
https://github.com/DevToys-app/DevToys,C#,23.7k,DevToys-app,DevToys,main
https://github.com/CodeHubApp/CodeHub,C#,22.9k,CodeHubApp,CodeHub,master
https://github.com/mxgmn/WaveFunctionCollapse,C#,22.8k,mxgmn,WaveFunctionCollapse,master
https://github.com/NickeManarin/ScreenToGif,C#,22.8k,NickeManarin,ScreenToGif,master
https://github.com/dotnet/maui,C#,21.6k,dotnet,maui,main
https://github.com/icsharpcode/ILSpy,C#,20.4k,icsharpcode,ILSpy,master
https://github.com/leiurayer/downkyi,C#,19.3k,leiurayer,downkyi,main
https://github.com/dotnet/roslyn,C#,18.6k,dotnet,roslyn,main
https://github.com/microsoft/semantic-kernel,C#,18.5k,microsoft,semantic-kernel,main
https://github.com/BeyondDimension/SteamTools,C#,18.4k,BeyondDimension,SteamTools,develop
https://github.com/DapperLib/Dapper,C#,17.2k,DapperLib,Dapper,main
https://github.com/Unity-Technologies/ml-agents,C#,16.4k,Unity-Technologies,ml-agents,develop
https://github.com/QL-Win/QuickLook,C#,16.3k,QL-Win,QuickLook,master
https://github.com/netchx/netch,C#,16k,netchx,netch,main
https://github.com/ppy/osu,C#,14.4k,ppy,osu,master
https://github.com/dotnet/runtime,C#,14.2k,dotnet,runtime,main
https://github.com/OpenRA/OpenRA,C#,14.2k,OpenRA,OpenRA,bleed
https://github.com/rocksdanister/lively,C#,14.2k,rocksdanister,lively,core-separation
https://github.com/OpenRA/OpenRA,C#,14.8k,OpenRA,OpenRA,bleed
https://github.com/nilaoda/N_m3u8DL-CLI,C#,14.5k,nilaoda,N_m3u8DL-CLI,master
