idx,url,main language,stars,owner,project,branch
91,https://github.com/flutter/flutter,Dart,162k,flutter,flutter,master
92,https://github.com/AppFlowy-IO/AppFlowy,Dart,49.3k,AppFlowy-IO,AppFlowy,main
93,https://github.com/localsend/localsend,Dart,35.8k,localsend,localsend,main
94,https://github.com/KRTirtho/spotube,Dart,24.8k,KRTirtho,spotube,master
95,https://github.com/alibaba/flutter-go,Dart,23.6k,alibaba,flutter-go,master
96,https://github.com/flutter/plugins,Dart,17.3k,flutter,plugins,main
97,https://github.com/ReVanced/revanced-manager,Dart,15.9k,ReVanced,revanced-manager,main
98,https://github.com/CarGuo/gsy_github_app_flutter,Dart,14.6k,CarGuo,gsy_github_app_flutter,master
99,https://github.com/GopeedLab/gopeed,Dart,14.2k,GopeedLab,gopeed,main
100,https://github.com/cfug/dio,Dart,12.2k,cfug,dio,main
101,https://github.com/felangel/bloc,Dart,11.4k,felangel,bloc,master
102,https://github.com/hiddify/hiddify-next,Dart,10k,hiddify,hiddify-next,main
103,https://github.com/jonataslaw/getx,Dart,9.9k,jonataslaw,getx,master
104,https://github.com/dart-lang/sdk,Dart,9.8k,dart-lang,sdk,main
105,https://github.com/flame-engine/flame,Dart,8.8k,flame-engine,flame,main
106,https://github.com/kaina404/FlutterDouBan,Dart,8.6k,kaina404,FlutterDouBan,main
107,https://github.com/firebase/flutterfire,Dart,8.4k,firebase,flutterfire,master
108,https://github.com/ente-io/ente,Dart,7.7k,ente-io,ente,main
109,https://github.com/alibaba/fish-redux,Dart,7.3k,alibaba,fish-redux,master
110,https://github.com/OpenFlutter/Flutter-Notebook,Dart,7.2k,OpenFlutter,Flutter-Notebook,master
111,https://github.com/alibaba/flutter_boost,Dart,6.8k,alibaba,flutter_boost,main
112,https://github.com/Notsfsssf/pixez-flutter,Dart,6.6k,Notsfsssf,pixez-flutter,master
113,https://github.com/2d-inc/HistoryOfEverything,Dart,6.4k,2d-inc,HistoryOfEverything,master
114,https://github.com/imaNNeo/fl_chart,Dart,6.4k,imaNNeo,fl_chart,main
115,https://github.com/abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard,Dart,6.4k,abuanwar072,Flutter-Responsive-Admin-Panel-or-Dashboard,master
116,https://github.com/ImranR98/Obtainium,Dart,5.3k,ImranR98,Obtainium,main
117,https://github.com/wanghongenpin/network_proxy_flutter,Dart,4.9k,wanghongenpin,network_proxy_flutter,main
118,https://github.com/mulaRahul/keyviz,Dart,4.6k,mulaRahul,keyviz,main
119,https://github.com/guozhigq/pilipala,Dart,4.5k,guozhigq,pilipala,main
120,https://github.com/ionicfirebaseapp/getwidget,Dart,4.4k,ionicfirebaseapp,getwidget,master
151,https://github.com/golang/go,Go,120k,golang,go,master
152,https://github.com/kubernetes/kubernetes,Go,107k,kubernetes,kubernetes,master
153,https://github.com/fatedier/frp,Go,80.5k,fatedier,frp,dev
154,https://github.com/gin-gonic/gin,Go,75.8k,gin-gonic,gin,master
155,https://github.com/gohugoio/hugo,Go,72.8k,gohugoio,hugo,master
156,https://github.com/moby/moby,Go,67.8k,moby,moby,master
157,https://github.com/ollama/ollama,Go,67.1k,ollama,ollama,main
158,https://github.com/junegunn/fzf,Go,60.3k,junegunn,fzf,master
159,https://github.com/syncthing/syncthing,Go,59.9k,syncthing,syncthing,main
160,https://github.com/caddyserver/caddy,Go,54.3k,caddyserver,caddy,master
161,https://github.com/prometheus/prometheus,Go,53.1k,prometheus,prometheus,main
162,https://github.com/nektos/act,Go,50.8k,nektos,act,master
163,https://github.com/traefik/traefik,Go,48.3,traefik,traefik,master
164,https://github.com/etcd-io/etcd,Go,46.5k,etcd-io,etcd,main
165,https://github.com/ethereum/go-ethereum,Go,46.3k,ethereum,go-ethereum,master
166,https://github.com/jesseduffield/lazygit,Go,46.2k,jesseduffield,lazygit,master
167,https://github.com/FiloSottile/mkcert,Go,46k,FiloSottile,mkcert,master
168,https://github.com/v2ray/v2ray-core,Go,44.8k,v2ray,v2ray-core,master
169,https://github.com/minio/minio,Go,44.5k,minio,minio,master
170,https://github.com/gogs/gogs,Go,44.3k,gogs,gogs,main
