url,main language,stars,owner,project,branch
https://github.com/flutter/flutter,Dart,162k,flutter,flutter,master
https://github.com/AppFlowy-IO/AppFlowy,Dart,49.3k,AppFlowy-IO,AppFlowy,main
https://github.com/localsend/localsend,Dart,35.8k,localsend,localsend,main
https://github.com/KRTirtho/spotube,Dart,24.8k,KRTirtho,spotube,master
https://github.com/alibaba/flutter-go,Dart,23.6k,alibaba,flutter-go,master
https://github.com/flutter/plugins,Dart,17.3k,flutter,plugins,main
https://github.com/ReVanced/revanced-manager,Dart,15.9k,ReVanced,revanced-manager,main
https://github.com/CarGuo/gsy_github_app_flutter,Dart,14.6k,CarGuo,gsy_github_app_flutter,master
https://github.com/GopeedLab/gopeed,Dart,14.2k,GopeedLab,gopeed,main
https://github.com/cfug/dio,Dart,12.2k,cfug,dio,main
https://github.com/felangel/bloc,Dart,11.4k,felangel,bloc,master
https://github.com/hiddify/hiddify-next,Dart,10k,hiddify,hiddify-next,main
https://github.com/jonataslaw/getx,Dart,9.9k,jonataslaw,getx,master
https://github.com/dart-lang/sdk,Dart,9.8k,dart-lang,sdk,main
https://github.com/flame-engine/flame,Dart,8.8k,flame-engine,flame,main
https://github.com/kaina404/FlutterDouBan,Dart,8.6k,kaina404,FlutterDouBan,main
https://github.com/firebase/flutterfire,Dart,8.4k,firebase,flutterfire,master
https://github.com/ente-io/ente,Dart,7.7k,ente-io,ente,main
https://github.com/alibaba/fish-redux,Dart,7.3k,alibaba,fish-redux,master
https://github.com/OpenFlutter/Flutter-Notebook,Dart,7.2k,OpenFlutter,Flutter-Notebook,master
https://github.com/alibaba/flutter_boost,Dart,6.8k,alibaba,flutter_boost,main
https://github.com/Notsfsssf/pixez-flutter,Dart,6.6k,Notsfsssf,pixez-flutter,master
https://github.com/2d-inc/HistoryOfEverything,Dart,6.4k,2d-inc,HistoryOfEverything,master
https://github.com/imaNNeo/fl_chart,Dart,6.4k,imaNNeo,fl_chart,main
https://github.com/abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard,Dart,6.4k,abuanwar072,Flutter-Responsive-Admin-Panel-or-Dashboard,master
https://github.com/ImranR98/Obtainium,Dart,5.3k,ImranR98,Obtainium,main
https://github.com/wanghongenpin/network_proxy_flutter,Dart,4.9k,wanghongenpin,network_proxy_flutter,main
https://github.com/mulaRahul/keyviz,Dart,4.6k,mulaRahul,keyviz,main
https://github.com/guozhigq/pilipala,Dart,4.5k,guozhigq,pilipala,main
https://github.com/ionicfirebaseapp/getwidget,Dart,4.4k,ionicfirebaseapp,getwidget,master
