,url,main language,stars,owner,project
0,https://github.com/torvalds/linux,C,171k,torvalds,linux
1,https://github.com/Genymobile/scrcpy,C,103k,Genymobile,scrcpy
2,https://github.com/firehol/netdata,C,68k,firehol,netdata
3,https://github.com/antirez/redis,C,65.1k,antirez,redis
4,https://github.com/ventoy/Ventoy,C,58.2k,ventoy,Ventoy
5,https://github.com/obsproject/obs-studio,C,56k,obsproject,obs-studio
6,https://github.com/git/git,C,50.3k,git,git
7,https://github.com/FFmpeg/FFmpeg,C,42.8k,FFmpeg,FFmpeg
8,https://github.com/php/php-src,C,37.4k,php,php-src
9,https://github.com/wg/wrk,C,36.9k,wg,wrk
10,https://github.com/curl/curl,C,34.4k,curl,curl
11,https://github.com/tmux/tmux,C,33.2k,tmux,tmux
12,https://github.com/Bilibili/ijkplayer,C,32.1k,Bilibili,ijkplayer
13,https://github.com/ggerganov/whisper.cpp,C,31.8k,ggerganov,whisper.cpp
14,https://github.com/jqlang/jq,C,29.2k,jqlang,jq
15,https://github.com/coolsnowwolf/lede,C,28.8k,coolsnowwolf,lede
16,https://github.com/pbatard/rufus,C,27k,pbatard,rufus
17,https://github.com/lizongying/my-tv,C,26.4k,lizongying,my-tv
18,https://github.com/mpv-player/mpv,C,26.2k,mpv-player,mpv
19,https://github.com/ggreer/the_silver_searcher,C,25.8k,ggreer,the_silver_searcher
20,https://github.com/pjreddie/darknet,C,25.4k,pjreddie,darknet
21,https://github.com/openssl/openssl,C,24.3k,openssl,openssl
22,https://github.com/libuv/libuv,C,23.4k,libuv,libuv
23,https://github.com/taosdata/TDengine,C,22.9k,taosdata,TDengine
24,https://github.com/robertdavidgraham/masscan,C,22.7k,robertdavidgraham,masscan
25,https://github.com/facebook/zstd,C,22.5k,facebook,zstd
26,https://github.com/valinet/ExplorerPatcher,C,22k,valinet,ExplorerPatcher
27,https://github.com/koekeishiya/yabai,C,21.8k,koekeishiya,yabai
28,https://github.com/arendst/Tasmota,C,21.4k,arendst,Tasmota
