url,main language,stars,owner,project,branch
https://github.com/rust-lang/rust,Rust,93.5k,rust-lang,rust,master
https://github.com/denoland/deno,Rust,93.1k,denoland,deno,main
https://github.com/tauri-apps/tauri,Rust,78k,tauri-apps,tauri,dev
https://github.com/rustdesk/rustdesk,Rust,64.8k,rustdesk,rustdesk,master
https://github.com/FuelLabs/sway,Rust,63.1k,FuelLabs,sway,master
https://github.com/FuelLabs/fuel-core,Rust,58.8k,FuelLabs,fuel-core,master
https://github.com/alacritty/alacritty,Rust,53.2k,alacritty,alacritty,master
https://github.com/lencx/ChatGPT,Rust,48.2k,lencx,ChatGPT,v2-dev
https://github.com/sharkdp/bat,Rust,46.9k,sharkdp,bat,master
https://github.com/BurntSushi/ripgrep,Rust,45.3k,BurntSushi,ripgrep,master
https://github.com/FuelLabs/fuels-rs,Rust,44.6k,FuelLabs,fuels-rs,master
https://github.com/meilisearch/meilisearch,Rust,43.6k,meilisearch,meilisearch,main
https://github.com/starship/starship,Rust,41.2k,starship,starship,master
https://github.com/zed-industries/zed,Rust,34.3k,zed-industries,zed,main
https://github.com/dani-garcia/vaultwarden,Rust,33.5k,dani-garcia,vaultwarden,main
https://github.com/lapce/lapce,Rust,33.2k,lapce,lapce,master
https://github.com/bevyengine/bevy,Rust,32.7k,bevyengine,bevy,main
https://github.com/sharkdp/fd,Rust,31.9k,sharkdp,fd,master
https://github.com/helix-editor/helix,Rust,30.3k,helix-editor,helix,master
https://github.com/nushell/nushell,Rust,30.3k,nushell,nushell,main
https://github.com/swc-project/swc,Rust,30.1k,swc-project,swc,main
https://github.com/typst/typst,Rust,28.7k,typst,typst,main
https://github.com/influxdata/influxdb,Rust,27.9k,influxdata,influxdb,main
https://github.com/astral-sh/ruff,Rust,27.1k,astral-sh,ruff,main
https://github.com/pola-rs/polars,Rust,26.6k,pola-rs,polars,main
https://github.com/surrealdb/surrealdb,Rust,25.7k,surrealdb,surrealdb,main
https://github.com/vercel/turbo,Rust,25.1k,vercel,turbo,main
https://github.com/tokio-rs/tokio,Rust,24.9k,tokio-rs,tokio,master
https://github.com/fish-shell/fish-shell,Rust,24.7k,fish-shell,fish-shell,master
https://github.com/firecracker-microvm/firecracker,Rust,26.5k,firecracker-microvm,firecracker,main
