idx,url,main language,stars,owner,project,branch
1,https://github.com/tmux/tmux,C,33.2k,tmux,tmux,master
2,https://github.com/Bilibili/ijkplayer,C,32.1k,Bilibili,ijkplayer,master
3,https://github.com/ggerganov/whisper.cpp,C,31.8k,ggerganov,whisper.cpp,master
4,https://github.com/jqlang/jq,C,29.2k,jqlang,jq,master
5,https://github.com/coolsnowwolf/lede,C,28.8k,coolsnowwolf,lede,master
6,https://github.com/pbatard/rufus,C,27k,pbatard,rufus,master
7,https://github.com/lizongying/my-tv,C,26.4k,lizongying,my-tv,main
8,https://github.com/mpv-player/mpv,C,26.2k,mpv-player,mpv,master
9,https://github.com/ggreer/the_silver_searcher,C,25.8k,ggreer,the_silver_searcher,master
10,https://github.com/pjreddie/darknet,C,25.4k,pjreddie,darknet,master
11,https://github.com/openssl/openssl,C,24.3k,openssl,openssl,master
12,https://github.com/libuv/libuv,C,23.4k,libuv,libuv,v1.x
13,https://github.com/taosdata/TDengine,C,22.9k,taosdata,TDengine,main
14,https://github.com/robertdavidgraham/masscan,C,22.7k,robertdavidgraham,masscan,master
15,https://github.com/facebook/zstd,C,22.5k,facebook,zstd,dev
16,https://github.com/valinet/ExplorerPatcher,C,22k,valinet,ExplorerPatcher,master
17,https://github.com/koekeishiya/yabai,C,21.8k,koekeishiya,yabai,master
18,https://github.com/arendst/Tasmota,C,21.4k,arendst,Tasmota,development
19,https://github.com/kingToolbox/WindTerm,C,20.8k,kingToolbox,WindTerm,master
20,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web,TypeScript,69.8k,ChatGPTNextWeb,ChatGPT-Next-Web,main
21,https://github.com/supabase/supabase,TypeScript,66.8k,supabase,supabase,master
22,https://github.com/coder/code-server,TypeScript,65.7k,coder,code-server,main
23,https://github.com/vitejs/vite,TypeScript,65.1k,vitejs,vite,main
24,https://github.com/nestjs/nest,TypeScript,64.7k,nestjs,nest,master
25,https://github.com/microsoft/playwright,TypeScript,62.2k,microsoft,playwright,main
27,https://github.com/hoppscotch/hoppscotch,TypeScript,60.5k,hoppscotch,hoppscotch,main
28,https://github.com/reduxjs/redux,TypeScript,60.5k,reduxjs,redux,master
29,https://github.com/socketio/socket.io,TypeScript,60.3k,socketio,socket.io,main
30,https://github.com/apache/superset,TypeScript,59.4k,apache,superset,master
31,https://github.com/apache/echarts,TypeScript,59.1k,apache,echarts,master
32,https://github.com/Eugeny/tabby,TypeScript,55.7k,Eugeny,tabby,master
33,https://github.com/nuxt/nuxt,TypeScript,52.3k,nuxt,nuxt,main
35,https://github.com/vuejs/core,TypeScript,44.9k,vuejs,core,main
36,https://github.com/FuelLabs/fuels-ts,TypeScript,44.6k,FuelLabs,fuels-ts,master
37,https://github.com/jestjs/jest,TypeScript,43.6k,jestjs,jest,main
38,https://github.com/pmndrs/zustand,TypeScript,43.1k,pmndrs,zustand,main
40,https://github.com/nocodb/nocodb,TypeScript,42.9k,nocodb,nocodb,develop
