url,main language,stars,owner,project,branch
https://github.com/laravel/laravel,PHP,77k,laravel,laravel,11.x
https://github.com/laravel/framework,PHP,31.6k,laravel,framework,11.x
https://github.com/blueimp/jQuery-File-Upload,PHP,31k,blueimp,jQuery-File-Upload,master
https://github.com/symfony/symfony,PHP,29.4k,symfony,symfony,7.3
https://github.com/composer/composer,PHP,28.3k,composer,composer,main
https://github.com/fzaninotto/Faker,PHP,26.8k,fzaninotto,Faker,master
https://github.com/nextcloud/server,PHP,25.8k,nextcloud,server,master
https://github.com/guzzle/guzzle,PHP,23k,guzzle,guzzle,7.9
https://github.com/livewire/livewire,PHP,21.8k,livewire,livewire,main
https://github.com/monicahq/monica,PHP,20.8k,monicahq,monica,main
https://github.com/Seldaek/monolog,PHP,20.8k,Seldaek,monolog,main
https://github.com/PHPMailer/PHPMailer,PHP,20.6k,PHPMailer,PHPMailer,master
https://github.com/sebastianbergmann/phpunit,PHP,19.6k,sebastianbergmann,phpunit,main
https://github.com/matomo-org/matomo,PHP,19.1k,matomo-org,matomo,5.x-dev
https://github.com/WordPress/WordPress,PHP,18.9k,WordPress,WordPress,master
https://github.com/bcit-ci/CodeIgniter,PHP,18.3k,bcit-ci,CodeIgniter,develop
https://github.com/nikic/PHP-Parser,PHP,16.8k,nikic,PHP-Parser,master
https://github.com/briannesbitt/Carbon,PHP,16.5k,briannesbitt,Carbon,master
https://github.com/coollabsio/coolify,PHP,16.4k,coollabsio,coolify,main
https://github.com/barryvdh/laravel-debugbar,PHP,16.2k,barryvdh,laravel-debugbar,master
https://github.com/koel/koel,PHP,15.5k,koel,koel,master
https://github.com/erusev/parsedown,PHP,14.7k,erusev,parsedown,master
https://github.com/firefly-iii/firefly-iii,PHP,14.4k,firefly-iii,firefly-iii,main
https://github.com/getgrav/grav,PHP,14.3k,getgrav,grav,develop
https://github.com/yiisoft/yii2,PHP,14.2k,yiisoft,yii2,master
https://github.com/barryvdh/laravel-ide-helper,PHP,13.9k,barryvdh,laravel-ide-helper,master
https://github.com/cachethq/cachet,PHP,13.7k,cachethq,cachet,2.4
https://github.com/Intervention/image,PHP,13.7k,Intervention,image,develop
https://github.com/thephpleague/flysystem,PHP,13.2k,thephpleague,flysystem,3.x
https://github.com/filp/whoops,PHP,13.1k,filp,whoops,master
